************************************Problem_1************************************

Sequence	R			x1		x2		f(x)
1		0.1			5.708205	-18.582887	-57515.049954
2		1.0			5.697418	-6.340379	-18355.014975
3		10.0			6.871727	-4.572813	-14868.246554
4		100.0			11.212680	-2.666264	-11643.224971
5		1000.0			13.601773	-0.054317	-8018.632318
6		10000.0			14.038110	0.726953	-7093.133159
7		100000.0		14.089197	0.830944	-6975.343924
8		1000000.0		14.094418	0.841755	-6963.171148
9		10000000.0		14.094941	0.842839	-6961.950471
10		100000000.0		14.095000	0.842960	-6961.814723
11		1000000000.0		14.095007	0.842975	-6961.797603
12		10000000000.0		14.095008	0.842978	-6961.794460
13		100000000000.0		14.095009	0.842979	-6961.793338
14		1000000000000.0		14.095009	0.842979	-6961.792887


The solution from the last Sequence is given by

Sequence	R			x1		x2		f(x)
14		1000000000000.0		14.095009	0.842979	-6961.792887
