************************************Problem_2************************************

Sequence	R		x1		x2		f(x)
1		0.100000	-0.005884	4.243981	58.446870
2		1.000000	-0.005053	4.243578	58.445667
3		10.000000	0.003186	4.239656	58.328086
4		100.000000	0.095951	4.203152	45.937173
5		1000.000000	1.031229	3.823210	-0.001247
6		10000.000000	1.001982	3.955485	-0.000000
7		100000.000000	1.001034	4.024943	0.000000
8		1000000.000000	1.231950	4.028096	0.017514
9		10000000.000000	1.227961	4.245427	0.095825
10		100000000.000000	1.227982	4.245391	0.095825


The solution from the last Sequence is given by

Sequence	R		x1		x2		f(x)
10		100000000.000000	1.227982	4.245391	0.095825
